"Id","Row","Column","Value","MatrixId","DateOfCreation"
1,1,1,Ценности,1,2024-07-17
2,1,2,Корпоративные компетенции,1,2024-07-17
4,2,1,Клиент: впечатления и простота для клиента на первом месте,1,2024-07-17
5,2,2,ОРИЕНТАЦИЯ НА КЛИЕНТА,1,2024-07-17
7,3,1,Профессионализм: эксперты в своей области Качество: качество продуктов и сервиса превосходит ожидания клиента,1,2024-07-17
8,3,2,ЭКСПЕРТНОСТЬ,1,2024-07-17
9,4,1,Команда: нацеленность на общий результат и развитие банка,1,2024-07-17
10,4,2,РАБОТА В КОМАНДЕ,1,2024-07-17
11,5,1,Инновационность: передовые технологии для клиента,1,2024-07-17
12,5,2,ИНИЦИАТИВНОСТЬ,1,2024-07-17
13,6,1,Коммуникабельность: налаживаем навыки коммуникации с коллегами и клиентами,1,2024-07-17
14,6,2,КОММУНИКАБЕЛЬНОСТЬ,1,2024-07-17
