"Id","ResultDate","IsRequired","SystemStatus","AssessmentId","JudgeId","JudgedId","DateOfCreation"
37,2025-02-19,true,2,5,2,8,2024-10-17
19,2025-02-19,true,2,1,2,4,2024-10-17
16,2025-02-25,true,2,1,4,4,2024-10-17
43,,true,1,7,7,10,2024-10-17
44,,true,1,7,8,10,2024-10-17
45,,true,1,7,9,10,2024-10-17
46,,true,1,7,10,10,2024-10-17
47,,true,1,7,2,10,2024-10-17
21,2024-10-17,true,2,2,5,5,2024-10-17
26,2024-10-17,true,2,3,6,6,2024-10-17
34,2024-10-17,true,2,5,8,8,2024-10-17
40,2024-10-17,true,2,6,9,9,2024-10-17
38,2024-10-17,true,2,6,7,9,2024-10-17
39,2024-10-17,true,2,6,8,9,2024-10-17
41,2024-10-17,true,2,6,10,9,2024-10-17
42,2024-10-17,true,2,6,2,9,2024-10-17
17,,true,1,1,5,4,2024-10-17
18,,true,1,1,6,4,2024-10-17
20,,true,1,2,4,5,2024-10-17
22,,true,1,2,6,5,2024-10-17
23,,true,1,2,2,5,2024-10-17
24,,true,1,3,4,6,2024-10-17
25,,true,1,3,5,6,2024-10-17
27,,true,1,3,2,6,2024-10-17
28,,true,1,4,7,7,2024-10-17
29,,true,1,4,8,7,2024-10-17
30,,true,1,4,9,7,2024-10-17
31,,true,1,4,10,7,2024-10-17
32,,true,1,4,2,7,2024-10-17
33,,true,1,5,7,8,2024-10-17
35,,true,1,5,9,8,2024-10-17
36,,true,1,5,10,8,2024-10-17
