"EmployeeStateId","AttributeId","Value","DateOfCreation"
40,1,Главный специалист,2025-02-19
40,2,Уровень 5,2025-02-19
40,3,"500",2025-02-19
10,1,Специалист,2024-07-17
10,2,Уровень 1,2024-07-17
10,3,"100",2024-07-17
11,1,Специалист,2024-07-17
11,2,Уровень 1,2024-07-17
11,3,"100",2024-07-17
12,1,Специалист,2024-07-17
12,2,Уровень 1,2024-07-17
12,3,"100",2024-07-17
13,1,Специалист,2024-07-17
13,2,Уровень 1,2024-07-17
13,3,"100",2024-07-17
14,1,Специалист,2024-07-17
14,2,Уровень 1,2024-07-17
14,3,"100",2024-07-17
15,1,Специалист,2024-07-17
15,2,Уровень 1,2024-07-17
15,3,"100",2024-07-17
16,1,Специалист,2024-07-17
16,2,Уровень 1,2024-07-17
16,3,"100",2024-07-17
17,1,Ведущий специалист,2024-10-17
17,2,Уровень 2,2024-10-17
17,3,"200",2024-10-17
18,1,Ведущий специалист,2024-10-17
18,2,Уровень 2,2024-10-17
18,3,"200",2024-10-17
19,1,Ведущий специалист,2024-10-17
19,2,Уровень 2,2024-10-17
19,3,"200",2024-10-17
20,1,Ведущий специалист,2024-10-17
20,2,Уровень 2,2024-10-17
20,3,"200",2024-10-17
21,1,Ведущий специалист,2024-10-17
21,2,Уровень 2,2024-10-17
21,3,"200",2024-10-17
22,1,Ведущий специалист,2024-10-17
22,2,Уровень 2,2024-10-17
22,3,"200",2024-10-17
23,1,Ведущий специалист,2024-10-17
23,2,Уровень 2,2024-10-17
23,3,"200",2024-10-17
24,1,Ведущий специалист,2024-10-17
24,2,Уровень 3,2024-10-17
24,3,"300",2024-10-17
25,1,Ведущий специалист,2024-10-17
25,2,Уровень 3,2024-10-17
25,3,"300",2024-10-17
26,1,Ведущий специалист,2024-10-17
26,2,Уровень 3,2024-10-17
26,3,"300",2024-10-17
27,1,Ведущий специалист,2024-10-17
27,2,Уровень 3,2024-10-17
27,3,"300",2024-10-17
28,1,Ведущий специалист,2024-10-17
28,2,Уровень 3,2024-10-17
28,3,"300",2024-10-17
29,1,Ведущий специалист,2024-10-17
29,2,Уровень 3,2024-10-17
29,3,"300",2024-10-17
30,1,Ведущий специалист,2024-10-17
30,2,Уровень 3,2024-10-17
30,3,"300",2024-10-17
31,1,Ведущий специалист,2024-10-17
31,2,Уровень 3,2024-10-17
31,3,"300",2024-10-17
32,1,Ведущий специалист,2024-10-17
32,2,Уровень 3,2024-10-17
32,3,"300",2024-10-17
33,1,Ведущий специалист,2024-10-17
33,2,Уровень 3,2024-10-17
33,3,"300",2024-10-17
34,1,Ведущий специалист,2024-10-17
34,2,Уровень 3,2024-10-17
34,3,"300",2024-10-17
36,1,Ведущий специалист,2024-10-17
36,2,Уровень 3,2024-10-17
36,3,"300",2024-10-17
37,1,Ведущий специалист,2024-10-17
37,3,"300",2024-10-17
37,2,Уровень 3,2024-10-17
35,1,Главный специалист,2024-10-17
35,2,Уровень 4,2024-10-17
35,3,"400",2024-10-17
39,1,Главный специалист,2024-10-17
39,2,Уровень 5,2024-10-17
39,3,"500",2024-10-17
