"Id","Number","StartDate","EndDate","NextGradeDate","CurrentGradeRouteGroupId","EmployeeStateBeforeGradeId","EmployeeStateAfterGradeId","EmployeeId","GradeStatusId","GradeTypeId","GradeRouteId","DateOfCreation"
33,4,2024-10-17,2025-02-19,2025-03-19,,32,40,4,5,1,1,2024-10-17
14,1,2024-07-17,2024-07-17,2024-08-17,,13,17,7,5,1,1,2024-07-17
11,1,2024-07-17,2024-07-17,2024-08-17,,10,18,4,5,1,1,2024-07-17
12,1,2024-07-17,2024-07-17,2024-08-17,,11,19,5,5,1,1,2024-07-17
13,1,2024-07-17,2024-07-17,2024-08-17,,12,20,6,5,1,1,2024-07-17
16,1,2024-07-17,2024-07-17,2024-08-17,,15,21,9,5,1,1,2024-07-17
15,1,2024-07-17,2024-07-17,2024-08-17,,14,22,8,5,1,1,2024-07-17
17,1,2024-07-17,2024-07-17,2024-08-17,,16,23,10,5,1,1,2024-07-17
36,4,2024-10-17,2024-10-17,2024-11-17,,35,39,9,5,1,1,2024-10-17
18,2,2024-08-17,2024-08-17,2024-09-17,,17,24,7,5,1,1,2024-08-17
19,2,2024-08-17,2024-08-17,2024-09-17,,18,25,4,5,1,1,2024-08-17
20,2,2024-08-17,2024-08-17,2024-09-17,,19,26,5,5,1,1,2024-08-17
21,2,2024-08-17,2024-08-17,2024-09-17,,20,27,6,5,1,1,2024-08-17
22,2,2024-08-17,2024-08-17,2024-09-17,,21,28,9,5,1,1,2024-08-17
23,2,2024-08-17,2024-08-17,2024-09-17,,22,29,8,5,1,1,2024-08-17
24,2,2024-08-17,2024-08-17,2024-09-17,,23,30,10,5,1,1,2024-08-17
25,3,2024-09-17,2024-09-17,2024-10-17,,24,31,7,5,1,1,2024-09-17
26,3,2024-09-17,2024-09-17,2024-10-17,,25,32,4,5,1,1,2024-09-17
27,3,2024-09-17,2024-09-17,2024-10-17,,26,33,5,5,1,1,2024-09-17
28,3,2024-09-17,2024-09-17,2024-10-17,,27,34,6,5,1,1,2024-09-17
29,3,2024-09-17,2024-09-17,2024-10-17,,28,35,9,5,1,1,2024-09-17
30,3,2024-09-17,2024-09-17,2024-10-17,,29,36,8,5,1,1,2024-09-17
31,3,2024-09-17,2024-09-17,2024-10-17,,30,37,10,5,1,1,2024-09-17
32,4,2024-10-17,,,1,31,,7,1,1,1,2024-10-17
34,4,2024-10-17,,,1,33,,5,1,1,1,2024-10-17
35,4,2024-10-17,,,1,34,,6,1,1,1,2024-10-17
37,4,2024-10-17,,,1,36,,8,1,1,1,2024-10-17
38,4,2024-10-17,,,1,37,,10,1,1,1,2024-10-17
